Resistivity (ohm.m),Chargeability (msec)
440.22,1.56
437.42,1.64
513.32,1.75
560.12,2.15
672.81,3.58
161.66,1.24
51.98,1.62
1700.5,10.11
248.48,1.41
346.91,3.68
464.23,2.4
851.2,5.43
2529.25,15.93
767.45,6.91
1059,7.31
679.26,2.13
1542.31,9.33
1868.7,13.14
288.27,1.01
651.71,2.21
724.04,2.39
586.25,2.14
336.3,3.44
318.28,3.6
195.83,2.16
138.71,0.79
96.34,0.61
560.12,2.15
499.58,2.08
672.81,3.58
475.72,2.50
161.66,1.24
51.98,1.62
102.45,1.4
248.48,1.41
606.31,2.09
346.91,2.68
214.95,3.01
464.23,1.4
851.2,5.43
767.45,6.91
1059,8.31
679.26,2.13
542.31,3.33
288.27,1.01
651.71,2.21
724.04,2.39
586.25,2.14
336.3,3.44
318.28,3.6
195.83,2.16
138.71,0.79
96.34,0.61
560.12,1.15
499.58,1.08
672.81,3.58
475.72,1.50
161.66,1.24
51.98,1.62
102.45,2.4
248.48,1.41
606.31,3.09
346.91,1.68
214.95,1.01
464.23,1.4
851.2,5.43
1929.25,13.93
767.45,6.91
1059,8.31
679.26,2.13
288.27,1.01
724.04,2.39
586.25,2.14
336.3,1.44
318.28,3.6
195.83,2.16
138.71,0.79
96.34,0.61
703.51,6.77
686.96,1.99
467.91,1.43
238,0.69
68.49,1.66
501.48,1.05
125.12,1.92
373.76,1.02
242,3.32
337.17,1.74
1168.9,5.71
407.95,3.26
313.38,1.27
1362.6,7.89
429.36,1.33
2074.3,15.1
627.06,2.25
661.51,2.36
422.86,1.67
439.16,3.32
321.68,2.79
199.74,1.87
123.37,0.78
133.78,0.65
2647.84,18.68
299.73,0.88
208.06,0.33
186.46,0.46
244.37,2.15
2747.5,21.56
1335.46,8.45
1278.1,6.59
550.85,2.33
728.51,4.25
495.75,2.89
268.41,3.79
337.33,2.89
278.32,1.31
329.54,4
505.36,2.60
649.32,2.55
1450.5,7.76
952.26,3.45
205.67,1.54
101.99,0.78
101.99,0.78
101.99,0.78
1225.7,6.63
1225.7,6.63
1225.7,6.63
278.5,1.12
127.64,0.48
83.45,0.35
148.35,1.01
578.86,4.25
2886.3,21.24
1781.73,13.28
192.19,2.16
339.67,2.11
84.2,0.68
1399.34,10.48
468.53,4.25
639.86,4.77
548.05,2.27
667.46,2.45
806.13,2.81
318.52,1.38
318.52,1.38
318.52,1.38
248.72,0.73
248.72,0.73
248.72,0.73
1903.17,15.16
2104.18,16.06
73.68,0.74
401.27,1.34
380.92,1.24
1304,7.05
2076.1001,14.47
485.78,4.15
522.74,4.77
2396.7,17.70
2396.7,17.70
2396.7,17.70
1268.7,9.54
218.19,0.56
682.59,2.12
2652.3999,16.64
2982.3,26.24
307.58,2.93
2792.1001,21.58
2786.3,20.32
789,6.01
2764.3999,21.64
2986.4,23.7
1300.5,9.91
1300.5,9.91
1300.5,9.91
2396.7,14.7
2286.3,16.24
756.3,6.25
2997.44,18.35
2923.6001,25.45
2074.3,15.36
1935.9,11.25
2523.6001,17.53
2906.8,19.67
2925.8,18.53
