X,Y,Resistivity,Chargeability
27.5,-21.5,429.52,1.2
47.5,-21.5,429.52,1.2
72.5,-21.5,933.33,4.37
77.5,-21.5,670.56,4.45
82.5,-21.5,499.47,2.29
87.5,-21.5,360.35,3.53
92.5,-21.5,238.41,2.26
117.5,-21.5,100.77,1.95
122.5,-21.5,305.99,1.98
127.5,-21.5,876.42,6.21
132.5,-21.5,520.53,1.32
137.5,-21.5,165.06,1.41
142.5,-21.5,66.03,2.01
152.5,-21.5,30.43,2.28
172.5,-21.5,30.43,2.28
192.5,-21.5,30.43,2.28
7.5,-26.15,1003.8,5.93
35,-26.15,1003.8,5.93
62.5,-26.15,1003.8,5.93
67.5,-26.15,1013.6,5.93
72.5,-26.15,832.48,5.09
77.5,-26.15,540.21,3.98
87.5,-26.15,192.98,2.77
102.5,-26.15,35.52,1.73
107.5,-26.15,29.48,1.64
112.5,-26.15,38.46,1.87
117.5,-26.15,84.58,1.21
122.5,-26.15,279.73,1.03
127.5,-26.15,673.62,5.3
132.5,-26.15,594.35,3.8
137.5,-26.15,300.07,2.81
142.5,-26.15,103.93,2.62
167.5,-26.15,103.93,2.62
192.5,-26.15,103.93,2.62
7.5,-31.328,809.67,6.03
40,-31.328,809.67,6.03
72.5,-31.328,809.67,6.03
77.5,-31.328,445.49,2.85
97.5,-31.328,24.72,1.13
112.5,-31.328,21.27,1.9
127.5,-31.328,640.34,6.13
160,-31.328,640.34,6.13
192.5,-31.328,640.34,6.13
3.75,0,382.27,1.91
6.25,0,345.56,1.84
8.75,0,340.01,1.84
11.25,0,382.18,1.77
13.75,0,268.62,1.63
16.25,0,327.41,1.54
18.75,0,220.01,1.4
21.25,0,213.64,1.22
23.75,0,188.56,1.18
26.25,0,220.53,1.28
28.75,0,178.53,1.51
31.25,0,203.16,1.6
33.75,0,222.79,1.76
36.25,0,194.07,1.65
38.75,0,211.19,1.75
41.25,0,201.31,1.77
43.75,0,193.42,1.94
46.25,0,273.87,2.15
48.75,0,361.27,2.02
51.25,0,262.5,2.05
53.75,0,330.92,1.84
56.25,0,315.75,1.77
58.75,0,304.47,1.71
61.25,0,332.36,1.63
63.75,0,483.25,1.62
66.25,0,438.49,1.7
68.75,0,363.04,1.72
71.25,0,452.89,1.88
73.75,0,492.01,1.94
76.25,0,580.12,1.69
78.75,0,327.58,1.79
81.25,0,279.95,1.66
83.75,0,272.92,1.61
86.25,0,208.8,1.49
88.75,0,267.17,1.42
91.25,0,216.69,1.25
93.75,0,306.39,1.31
96.25,0,266.45,1.37
3.75,-0.313,382.27,1.91
